#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
222,2023/07/11,898,-0.22,916,891.2,905,"20,063","18,019,774.50"
223,2023/07/10,900,0.11,916.9,890,916.9,"40,015","36,071,247.60"
224,2023/07/09,899,3.33,900,870,870,"39,333","35,159,418.90"
225,2023/07/06,870,-0.34,886.4,861.5,880,"29,813","26,008,280.20"
226,2023/07/05,873,-2.13,909.8,870,909.8,"36,675","32,249,379.20"
227,2023/07/04,892,1.71,893.9,875,885,"32,624","28,810,037.90"
228,2023/07/03,877,-1.35,895,871.7,889,"66,244","58,471,852.50"
229,2023/07/02,889,-2.84,930,887,930,"76,323","68,905,468.00"
230,2023/06/28,915,-3.89,950,910,950,"107,004","98,797,320.70"
231,2023/06/27,952,3.48,985,910,930,"97,573","91,335,008.60"
232,2023/06/26,920,0.11,955,910,926.5,"75,403","70,033,271.70"
233,2023/06/25,919,4.67,952,881,890,"202,761","184,186,089.80"
234,2023/06/22,878,0.92,892,870,870,"64,507","56,778,006.60"
235,2023/06/21,870,-0.23,890,862,872,"97,562","85,374,640.00"
236,2023/06/20,872,-2.57,910,870,900,"114,493","102,060,674.10"
237,2023/06/19,895,4.28,900,867,875,"203,411","181,334,562.40"
238,2023/06/18,858.3,5.83,861.9,809,827,"176,751","147,489,523.10"
239,2023/06/15,811,0.25,820,798,809,"46,735","37,700,130.00"
240,2023/06/14,809,2.66,832,793.1,795,"158,579","128,822,224.40"
241,2023/06/13,788,0.64,800,778,798.6,"66,446","52,582,766.70"
242,2023/06/12,783,0.51,813.9,779,785,"61,440","48,181,388.10"
243,2023/06/11,779,0.52,788.9,768,775,"104,412","81,264,954.10"
244,2023/06/08,775,-0.64,799,768.4,770,"106,070","82,231,191.30"
245,2023/06/07,780,0.39,824,777.2,788,"83,162","65,290,263.00"
246,2023/06/06,777,-0.14,788,774.3,788,"93,806","72,970,656.80"
247,2023/06/05,778.1,-1.13,795,776.3,789,"34,273","26,921,068.10"
248,2023/06/04,787,2.54,801.1,770,770,"22,807","17,975,129.70"
249,2023/06/01,767.5,0.39,775,758,766,"27,532","21,212,468.70"
250,2023/05/31,764.5,-1.34,779.5,759.5,770,"57,870","44,239,396.10"
251,2023/05/30,774.9,-3.14,816,770,816,"75,168","58,462,669.20"
252,2023/05/28,800,-0.62,811,794.2,810,"113,656","91,302,808.30"
253,2023/05/24,805,1.26,805,792.9,797,"55,535","44,338,874.30"
254,2023/05/23,795,2.05,798.9,780,780,"114,275","89,927,945.20"
255,2023/05/22,779,-0.38,789,775,780,"18,874","14,727,202.20"
256,2023/05/21,782,0.36,795,780.1,794,"46,307","36,490,564.70"
257,2023/05/18,779.2,0.28,792,775.1,792,"110,951","86,348,436.80"
258,2023/05/17,777,2.51,780.5,763,770,"61,570","47,428,567.30"
259,2023/05/16,758,-1.49,775,758,760,"19,671","15,041,852.10"
260,2023/05/15,769.5,-0.45,787,763.2,787,"23,018","17,714,950.70"
261,2023/05/14,773,-2.15,800,770,800,"26,672","20,750,918.80"
262,2023/05/11,790,-0.5,799,774.2,799,"40,306","31,506,363.00"
