#,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
119,2024/11/11,"1,012.00",-0.3,"1,107.00",997.10,"1,025.00","80,390","81,624,584.90"
120,2024/11/10,"1,015.00",2.63,"1,068.00",980.00,"1,000.00","134,838","135,672,646.00"
121,2024/11/06,989.00,-0.1,"1,001.00",977.10,977.10,"12,051","11,928,538.90"
122,2024/11/05,990.00,1.01,995.00,980.00,995.00,"9,519","9,420,590.80"
123,2024/10/30,980.10,-0.7,"1,005.00",976.10,"1,005.00","10,317","10,140,682.00"
124,2024/10/29,987.00,1.3,989.00,976.30,980.00,"13,104","12,875,332.10"
125,2024/10/28,974.30,0.12,989.90,973.10,989.90,"5,223","5,099,771.60"
126,2024/10/27,973.10,-0.4,980.00,973.00,975.00,"9,576","9,338,385.00"
127,2024/10/24,977.00,-0.32,997.00,977.00,995.00,"19,320","18,918,095.40"
128,2024/10/23,980.10,-0.24,"1,000.00",977.00,977.80,"10,217","10,035,366.30"
129,2024/10/22,982.50,0.86,988.00,975.00,975.00,"8,673","8,510,710.40"
130,2024/10/21,974.10,-1.6,987.00,973.20,987.00,"25,677","25,102,051.70"
131,2024/10/20,989.90,-1.94,"1,010.00",976.20,"1,010.00","33,114","32,894,761.40"
132,2024/10/17,"1,009.50",1.1,"1,023.00",995.00,"1,013.00","41,341","41,835,888.80"
133,2024/10/16,998.50,0.5,"1,004.00",980.00,980.00,"23,993","23,966,818.20"
134,2024/10/15,993.50,0.56,"1,000.00",988.00,988.00,"9,161","9,088,904.00"
135,2024/10/09,988.00,-0.2,994.90,985.00,985.00,"14,408","14,234,453.10"
136,2024/10/09,988.00,-0.2,994.90,985.00,985.00,"14,408","14,234,453.10"
137,2024/10/08,990.00,-0.5,"1,000.00",984.00,"1,000.00","22,518","22,344,732.90"
138,2024/10/07,995.00,2.79,"1,000.00",950.00,950.00,"45,780","45,501,766.10"
139,2024/10/06,968.00,1.36,975.00,945.00,945.00,"18,031","17,415,988.60"
140,2024/10/02,955.00,-0.05,979.00,950.00,956.00,"20,834","20,094,004.20"
141,2024/10/01,955.50,3.87,957.00,919.90,919.90,"35,588","33,504,768.80"
142,2024/09/30,919.90,1.09,926.50,910.00,926.50,"10,650","9,791,676.00"
143,2024/09/29,910.00,-0.22,915.00,900.00,912.00,"16,387","14,840,521.60"
144,2024/09/26,912.00,-0.22,932.00,912.00,930.00,"25,483","23,361,268.40"
145,2024/09/25,914.00,1.22,920.00,895.00,901.00,"19,780","17,919,801.90"
146,2024/09/24,903.00,-2.69,935.00,900.10,916.10,"26,123","23,805,445.50"
147,2024/09/23,928.00,-1.8,949.00,927.00,940.00,"30,523","28,470,530.00"
148,2024/09/22,945.00,0.32,979.00,940.00,960.80,"26,618","25,170,323.00"
